run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,42,0,10,0.001,500,3,10,32,8,nan,"[32, 32, 32, 32, 32, 64, 32, 64]",2.286946758047377,0.1132782937736498,74.32,2728.416996765137,168.0648145007753,0.8816143655142522,36043.99416351318
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,42,0,10,0.001,500,3,10,32,8,nan,"[32, 32, 32, 32, 32, 64, 32, 64]",2.5443235944542377,0.12108703130374958,1.6,3752.007413482666,478.41812372756164,4.772737039729861,52015.67195510864
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,1042,0,10,0.001,500,3,10,32,8,4,"[32, 64, 64, 64]",2.3197156310531515,0.13867675725260864,79.61,7403.688232421875,320.7555935353319,0.8305015582598368,94515.62573242188
