run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_nbn-m4-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,46,4,20,0.001,1000,1,10,28,8,nan,"[256, 256, 16, 16, 256, 128, 32, 16]",2.3054784540367397,0.12206959235821714,96.15,4703.085455322265,837.2802749574473,0.5260589499602508,77822.04593086243
plain_cnn_nbn-m4-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,46,4,20,0.001,1000,1,10,28,8,nan,"[256, 256, 16, 16, 256, 128, 32, 16]",2.5191473175186165,0.11328051311073382,0.06,1900.5118927001954,461.5739883058753,15.206237206901816,32005.095049619675
plain_cnn_nbn-m5-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,47,5,20,0.001,1000,1,10,28,16,nan,"[256, 64, 256, 512, 16, 512, 256, 32, 32, 512, 256, 512, 64, 256, 16, 32]",2.4464393446710155,0.12011741638227207,11.35,0.19598848819732667,0.042288456290559086,0.24146382542602135,658.9342324319229
plain_cnn_nbn-m5-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,47,5,20,0.001,1000,1,10,28,16,nan,"[256, 64, 256, 512, 16, 512, 256, 32, 32, 512, 256, 512, 64, 256, 16, 32]",2.3709505944546687,0.11425803021728319,11.35,0.23471797704696656,0.054870385119129235,0.2206974792148136,1295.711304090078
plain_cnn_nbn-m5-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,47,5,20,0.001,1000,1,10,28,16,nan,"[256, 64, 256, 512, 16, 512, 256, 32, 32, 512, 256, 512, 64, 256, 16, 32]",2.7219280948873625,0.13086152984285412,9.58,0.1793436273932457,0.04996586079998126,0.32813485981128165,316.06914759351776
plain_cnn_nbn-m6-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,48,6,20,0.001,1000,1,10,28,32,nan,"[256, 512, 32, 512, 256, 32, 128, 128, 16, 512, 32, 512, 512, 512, 32, 16, 64, 512, 32, 128, 16, 128, 16, 128, 64, 256, 32, 64, 256, 128, 512, 16]",2.170950594454669,0.11132833713478875,11.35,0.6205108664929867,0.37358586614250183,0.5314390844476351,44.58337893483647
plain_cnn_nbn-m6-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,48,6,20,0.001,1000,1,10,28,32,nan,"[256, 512, 32, 512, 256, 32, 128, 128, 16, 512, 32, 512, 512, 512, 32, 16, 64, 512, 32, 128, 16, 128, 16, 128, 64, 256, 32, 64, 256, 128, 512, 16]",2.4464393446710155,0.1230471094647665,11.35,0.6077117621898651,0.3548034067324453,0.8995658899867492,56.46857772646547
plain_cnn_nbn-m6-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,48,6,20,0.001,1000,1,10,28,32,nan,"[256, 512, 32, 512, 256, 32, 128, 128, 16, 512, 32, 512, 512, 512, 32, 16, 64, 512, 32, 128, 16, 128, 16, 128, 64, 256, 32, 64, 256, 128, 512, 16]",2.8464393446710146,0.1191398992757227,9.82,0.3574252113699913,0.1921297077010068,1.0315545042771774,56.863303271400824
plain_cnn_nbn-m7-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,49,7,20,0.001,1000,1,10,28,8,nan,"[16, 512, 32, 512, 256, 16, 16, 64]",1.915174356370488,0.10937616115884367,99.21,1633.7198699951173,61.60929546086113,0.9515364096733809,70944.03239583969
plain_cnn_nbn-m7-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,49,7,20,0.001,1000,1,10,28,8,nan,"[16, 512, 32, 512, 256, 16, 16, 64]",2.4427953690411326,0.10839864405229431,97.1,461.2124630451202,37.472393775234735,1.2496252333682643,24382.872101783752
