run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_nbn-m0-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,42,0,15,0.001,300,1,10,28,48,nan,"[256, 128, 512, 64, 64, 128, 64, 256, 128, 64, 256, 64, 512, 256, 64, 64, 512, 256, 256, 64, 128, 256, 64, 256, 64, 128, 512, 128, 512, 128, 64, 128, 64, 512, 64, 64, 128, 256, 256, 256, 256, 64, 128, 64, 64, 512, 512, 256]",2.9219280948873627,0.12695791766999198,11.35,0.9321006115700584,0.019531632872642223,14.292547534167097,14.903207419090904
plain_cnn_nbn-m0-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,42,0,15,0.001,300,1,10,28,48,nan,"[256, 128, 512, 64, 64, 128, 64, 256, 128, 64, 256, 64, 512, 256, 64, 64, 512, 256, 256, 64, 128, 256, 64, 256, 64, 128, 512, 128, 512, 128, 64, 128, 64, 512, 64, 64, 128, 256, 256, 256, 256, 64, 128, 64, 64, 512, 512, 256]",2.3709505944546687,0.1347666552000917,11.35,0.9262109542440158,0.01795335993865009,17.061305758522504,14.67634327376436
plain_cnn_nbn-m0-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,42,0,15,0.001,300,1,10,28,48,nan,"[256, 128, 512, 64, 64, 128, 64, 256, 128, 64, 256, 64, 512, 256, 64, 64, 512, 256, 256, 64, 128, 256, 64, 256, 64, 128, 512, 128, 512, 128, 64, 128, 64, 512, 64, 64, 128, 256, 256, 256, 256, 64, 128, 64, 64, 512, 512, 256]",2.9219280948873627,0.11523907808737528,9.82,0.923957785384846,0.01619153210120466,19.029332943445546,14.552479914782452
plain_cnn_nbn-m1-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,43,1,15,0.001,300,1,10,28,8,nan,"[512, 512, 512, 512, 64, 128, 512, 256]",1.8844704811367907,0.11718839582616673,11.35,0.3140043795283418,0.008644620163251092,7.413174450314624,5.734169010698679
plain_cnn_nbn-m1-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,43,1,15,0.001,300,1,10,28,8,nan,"[512, 512, 512, 512, 64, 128, 512, 256]",2.394424543828973,0.12890723540878338,11.35,0.302100701307063,0.010033026639444912,7.881747328503535,5.241922531378805
plain_cnn_nbn-m1-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,43,1,15,0.001,300,1,10,28,8,nan,"[512, 512, 512, 512, 64, 128, 512, 256]",2.5729308854089483,0.12499713335626648,8.92,0.29310550598893315,0.012498322392124988,9.109517627543262,4.911134169116849
plain_cnn_nbn-m2-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,44,2,15,0.001,300,1,10,28,24,nan,"[512, 64, 64, 256, 256, 256, 64, 256, 256, 512, 512, 128, 64, 64, 512, 128, 256, 128, 64, 128, 256, 128, 64, 128]",2.046439344671015,0.12499713335626648,11.35,0.777933680760907,0.025501459012195308,10.599535055583555,12.662946208307403
plain_cnn_nbn-m2-mnist-n50-s42,plain_cnn_nbn,mnist,0.5,42,44,2,15,0.001,300,1,10,28,24,nan,"[512, 64, 64, 256, 256, 256, 64, 256, 256, 512, 512, 128, 64, 64, 512, 128, 256, 128, 64, 128, 256, 128, 64, 128]",2.7219280948873625,0.12890723540878338,11.35,0.7738583855214529,0.025908698935847945,13.203211676612359,12.428527140888036
plain_cnn_nbn-m2-mnist-n100-s42,plain_cnn_nbn,mnist,1.0,42,44,2,15,0.001,300,1,10,28,24,nan,"[512, 64, 64, 256, 256, 256, 64, 256, 256, 512, 512, 128, 64, 64, 512, 128, 256, 128, 64, 128, 256, 128, 64, 128]",2.9219280948873627,0.13280587088636622,9.8,0.7780763471208048,0.025225992892320272,14.444847945948283,12.58176235605788
plain_cnn_nbn-m3-mnist-n0-s42,plain_cnn_nbn,mnist,0.0,42,45,3,15,0.001,300,1,10,28,16,nan,"[256, 256, 512, 256, 64, 256, 512, 128, 128, 256, 512, 256, 256, 256, 128, 512]",2.3903431750149897,0.12108703130374958,11.35,0.5643585749494378,0.01770993716177352,12.553158550141552,9.389383782894583
