run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,1042,0,15,0.001,1000,3,10,32,8,4,"[32, 64, 64, 64]",2.2612256900345304,0.13086438808000778,79.32,7007.129260253906,191.55547870692166,0.9680637535155977,129869.57028198242
resnet-m0-cifar-n50-s42,resnet,cifar,0.5,42,1042,0,15,0.001,1000,3,10,32,8,4,"[32, 64, 64, 64]",2.4749828182425753,0.12500786015217255,57.82,6455.839840698242,417.7506825928964,1.4224685408748396,128229.12034606934
resnet-m0-cifar-n100-s42,resnet,cifar,1.0,42,1042,0,15,0.001,1000,3,10,32,8,4,"[32, 64, 64, 64]",2.5652785063207517,0.11229156305556982,1.94,9884.744754028321,3449.5250208558614,14.678700691055143,225782.4811859131
resnet-m1-cifar-n0-s42,resnet,cifar,0.0,42,1043,1,15,0.001,1000,3,10,32,32,4,"[64, 64, 64, 64]",2.2748517687006693,0.1523383238154036,82.96,43492.42930297852,2983.2496424622677,1.2706281061011282,892973.1616821289
resnet-m1-cifar-n50-s42,resnet,cifar,0.5,42,1043,1,15,0.001,1000,3,10,32,32,4,"[64, 64, 64, 64]",2.506205889524661,0.10838149462937237,66.68,68047.58883056641,17166.58074482966,3.925158200626844,1265035.9218139648
resnet-m1-cifar-n100-s42,resnet,cifar,1.0,42,1043,1,15,0.001,1000,3,10,32,32,4,"[64, 64, 64, 64]",2.5242437206299058,0.1191341828014154,2.18,119808.89786376953,17994.266447181817,2.9424521296274917,1593629.57371521
resnet-m2-cifar-n0-s42,resnet,cifar,0.0,42,1044,2,15,0.001,1000,3,10,32,8,4,"[64, 32, 32, 64]",2.2519086906615717,0.11132833713478875,79.2,2886.343733215332,180.8736076310808,0.9546900465558542,54673.32262420654
resnet-m2-cifar-n50-s42,resnet,cifar,0.5,42,1044,2,15,0.001,1000,3,10,32,8,4,"[64, 32, 32, 64]",2.4756268638194494,0.1152326890866789,54.52,2771.1524826049804,198.28050893085438,1.301943408868931,55949.87685394287
resnet-m2-cifar-n100-s42,resnet,cifar,1.0,42,1044,2,15,0.001,1000,3,10,32,8,4,"[64, 32, 32, 64]",2.5468877644159074,0.11718772329977763,3.91,2886.1647338867188,314.20299278761973,0.9079479410766707,58689.434005737305
resnet-m3-cifar-n0-s42,resnet,cifar,0.0,42,1045,3,15,0.001,1000,3,10,32,32,4,"[32, 32, 32, 32]",2.223735598635648,0.1757730102382055,78.58,34547.31348266602,1061.212415017017,0.9413079736465572,606139.0361938477
resnet-m3-cifar-n50-s42,resnet,cifar,0.5,42,1045,3,15,0.001,1000,3,10,32,32,4,"[32, 32, 32, 32]",2.4801351447800335,0.11425803021728319,61.69,24060.46375427246,515.3406073529904,1.1620026675937716,460391.3020172119
resnet-m3-cifar-n100-s42,resnet,cifar,1.0,42,1045,3,15,0.001,1000,3,10,32,32,4,"[32, 32, 32, 32]",2.5404305147778867,0.12304425122761287,2.88,20482.328213500976,1403.191310561783,1.1058270804991146,398338.8575439453
resnet-m4-cifar-n0-s42,resnet,cifar,0.0,42,1046,4,15,0.001,1000,3,10,32,16,4,"[64, 32, 64, 32]",2.2133974306486763,0.11816524040632699,81.06,17763.658209228517,626.3456162013683,1.0669129476508425,310092.7437438965
resnet-m4-cifar-n50-s42,resnet,cifar,0.5,42,1046,4,15,0.001,1000,3,10,32,16,4,"[64, 32, 64, 32]",2.4840076441449,0.11621020619322826,65.73,15747.190496826172,781.8609175989955,1.2410026746644163,288990.6300354004
resnet-m4-cifar-n100-s42,resnet,cifar,1.0,42,1046,4,15,0.001,1000,3,10,32,16,4,"[64, 32, 64, 32]",2.556057286259287,0.11230585424133811,2.58,19917.91961669922,2932.209949861853,17.738380372762034,430164.37841796875
