run_id,arch_name,dataset,noise_level,seed,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau
plain_cnn_bn-cifar-n0-s42-i0,plain_cnn_bn,cifar,0.0,42,4,,"[16, 64, 64, 16]",2.350003082892045,0.12497420020639834,62.55,1796.105859375,131.99074242027461,0.7575068569678899
plain_cnn_bn-cifar-n0-s42-i1,plain_cnn_bn,cifar,0.0,42,4,,"[32, 32, 64, 64]",2.253647920441685,0.11718839582616673,71.26,357.51109924316404,19.137096882839494,0.5396760919898587
plain_cnn_bn-cifar-n100-s42-i0,plain_cnn_bn,cifar,1.0,42,32,,"[32, 16, 64, 16, 64, 32, 32, 64, 32, 64, 32, 32, 16, 64, 16, 64, 32, 16, 64, 32, 16, 32, 16, 16, 32, 16, 64, 64, 16, 32, 16, 32]",2.170950594454669,0.11718839582616673,8.11,5565.300228881836,2639.638732337116,13.995970083513969
