run_id,arch_name,dataset,noise_level,seed,model_index,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,4,,"[16, 16, 16, 16]",2.2816708840525814,0.11718839582616673,57.79,1924.1260223388672,99.09754993445122,0.92806738269403
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,4,,"[16, 16, 16, 16]",2.5418273729091374,0.11718839582616673,1.54,1529.170346069336,226.44047808246833,0.7177322462944302
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,0,4,4,"[16, 64, 64, 64]",2.3120269412641807,0.12304781561747506,73.2,2686.539727783203,109.08093544143257,0.5675397736030886
resnet-m0-cifar-n100-s42,resnet,cifar,1.0,42,0,4,4,"[16, 64, 64, 64]",2.5340132328764913,0.12304781561747506,1.47,3210.331881713867,106.62370634971565,1.0686350520690913
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,4,,"[16, 16, 16, 16]",2.2816708840525814,0.11718839582616673,57.79,1924.1260223388672,99.09754993445122,0.92806738269403
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,4,,"[16, 16, 16, 16]",2.5418273729091374,0.11718839582616673,1.54,1529.170346069336,226.44047808246833,0.7177322462944302
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,0,4,4,"[16, 64, 64, 64]",2.3120269412641807,0.12304781561747506,73.2,2686.539727783203,109.08093544143257,0.5675397736030886
resnet-m0-cifar-n100-s42,resnet,cifar,1.0,42,0,4,4,"[16, 64, 64, 64]",2.5340132328764913,0.12304781561747506,1.47,3210.331881713867,106.62370634971565,1.0686350520690913
plain_cnn_bn-m0-cifar-n0-s42,plain_cnn_bn,cifar,0.0,42,0,4,,"[16, 16, 16, 16]",2.2816708840525814,0.11718839582616673,57.79,1924.1260223388672,99.09754993445122,0.92806738269403
plain_cnn_bn-m0-cifar-n100-s42,plain_cnn_bn,cifar,1.0,42,0,4,,"[16, 16, 16, 16]",2.5418273729091374,0.11718839582616673,1.54,1529.170346069336,226.44047808246833,0.7177322462944302
resnet-m0-cifar-n0-s42,resnet,cifar,0.0,42,0,4,4,"[16, 64, 64, 64]",2.3120269412641807,0.12304781561747506,73.2,2686.539727783203,109.08093544143257,0.5675397736030886
resnet-m0-cifar-n100-s42,resnet,cifar,1.0,42,0,4,4,"[16, 64, 64, 64]",2.5340132328764913,0.12304781561747506,1.47,3210.331881713867,106.62370634971565,1.0686350520690913
